EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,exit_interview_feedback,satisfaction_survey_comment,internal_transfer_request,SalaryBand
EMP_0000,0,0,1,1,5,4,0,62506,0,19,Production Technician I,7/5/2011,,N/A-StillEmployed,Active,Production       ,LinkedIn,Exceeds,4.6,5,0,1/17/2019,0,1,N/A,Good balance between autonomy and collaboration. Happy here.,"After 12.5 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0001,1,1,1,5,3,3,0,104437,1,27,Sr. DBA,3/30/2015,6/16/2016,career change,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,4.96,3,6,2/24/2016,0,17,"After 1.2 years in IT/IS, I wanted to challenge myself in a different field. Entirely personal — no major complaints.",Good balance between autonomy and collaboration. Happy here.,N/A,80-120k
EMP_0002,1,1,0,5,5,3,0,64955,1,20,Production Technician II,7/5/2011,9/24/2012,hours,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,0,3,The hours were consistently beyond what was agreed when I was hired. Work-life balance became a real issue.,Recognition is inconsistent — hard to feel motivated when effort goes unnoticed.,N/A,55-65k
EMP_0003,1,1,0,1,5,3,0,64991,0,19,Production Technician I,1/7/2008,,N/A-StillEmployed,Active,Production       ,Indeed,Fully Meets,4.84,5,0,1/3/2019,0,15,N/A,I feel supported by my manager and the team culture is genuinely positive.,"After 16.0 years in Production, I would like to explore opportunities in a different department to broaden my skills.",55-65k
EMP_0004,0,2,0,5,5,3,0,50825,1,19,Production Technician I,7/11/2011,9/6/2016,return to school,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5.0,4,0,2/1/2016,0,2,I'm going back to school full-time. A long-term goal I finally decided to pursue.,Good balance between autonomy and collaboration. Happy here.,N/A,<55k
EMP_0005,0,0,0,1,5,4,0,57568,0,19,Production Technician I,1/9/2012,,N/A-StillEmployed,Active,Production       ,LinkedIn,Exceeds,5.0,5,0,1/7/2019,0,15,N/A,Good balance between autonomy and collaboration. Happy here.,"I'm committed to this company, but a lateral move would help me grow and bring fresh energy to my work.",55-65k
EMP_0006,0,0,0,1,4,3,0,95660,0,24,Software Engineer,11/10/2014,,N/A-StillEmployed,Active,Software Engineering,LinkedIn,Fully Meets,3.04,3,4,1/2/2019,0,19,N/A,Recognition is inconsistent — hard to feel motivated when effort goes unnoticed.,N/A,80-120k
EMP_0007,0,4,1,1,5,3,0,59365,0,19,Production Technician I,9/30/2013,,N/A-StillEmployed,Active,Production       ,Employee Referral,Fully Meets,5.0,4,0,2/25/2019,0,19,N/A,Good balance between autonomy and collaboration. Happy here.,I've contributed as much as I can in my current role and would welcome a chance to bring my experience to a new team.,55-65k
EMP_0008,0,0,0,3,5,3,1,47837,0,19,Production Technician I,7/6/2009,,N/A-StillEmployed,Active,Production       ,Diversity Job Fair,Fully Meets,4.46,3,0,1/25/2019,0,4,N/A,Things are generally fine but there's room to improve communication between teams.,"After 14.5 years in Production, I would like to explore opportunities in a different department to broaden my skills.",<55k
EMP_0009,0,2,1,1,3,3,0,50178,0,14,IT Support,1/5/2015,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,5.0,5,6,2/18/2019,0,16,N/A,I feel supported by my manager and the team culture is genuinely positive.,N/A,<55k
EMP_0010,1,1,0,5,5,3,1,54670,1,19,Production Technician I,1/10/2011,1/12/2017,Another position,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.2,4,0,1/30/2016,0,12,It was the right time for me to move on. Good memories here.,Things are generally fine but there's room to improve communication between teams.,N/A,<55k
EMP_0011,1,1,1,5,5,3,1,47211,1,19,Production Technician I,4/2/2012,9/19/2016,unhappy,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.2,3,0,5/6/2016,0,15,The atmosphere in my department became increasingly tense. I tried raising it but nothing changed.,Decent place to work. I'd appreciate more clarity on career development paths.,N/A,<55k
